job-id,finish,cpus-per-task,max-rss,start, Search Type,job-name,conjecture-status,account,ChromaticNumber,error-output,error,ntasks,Search Options,ntasks-per-node,status,Flags,elapsed,width,iteration,max-witness-size,mem-per-cpu,time,input,all-states,script-file,command
4728322,22 18:15:18 CET 2021,1,0,Wed Dec 22 18:15:15 CET 2021,IsomorphismBreadthFirstSearch,19317898,"Conjecture: Satisfied
",NN9535K,1,,,1, ,1,DONE, -pl -pdbgn ,00:00:01, pw = 1,6,1,2G,14-00:00:00,../../inputs/ChromaticNumber_1,6,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317898.sh,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317898.txt
4728323,22 18:15:18 CET 2021,1,0,Wed Dec 22 18:15:15 CET 2021,IsomorphismBreadthFirstSearch,19317903,"Conjecture: Satisfied
",NN9535K,1,,,1,-premise,1,DONE, -pl -pdbgn ,00:00:01, pw = 1,3,1,2G,14-00:00:00,../../inputs/ChromaticNumber_1,3,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317903.sh,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317903.txt
4728324,22 18:15:18 CET 2021,1,0,Wed Dec 22 18:15:16 CET 2021,IsomorphismBreadthFirstSearch,19317908,"Conjecture: Satisfied
",NN9535K,1,,,1, ,1,DONE, -pl -pdbgn ,00:00:01, pw = 2,6,1,2G,14-00:00:00,../../inputs/ChromaticNumber_1,8,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317908.sh,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317908.txt
4728325,22 18:15:19 CET 2021,1,0,Wed Dec 22 18:15:16 CET 2021,IsomorphismBreadthFirstSearch,19317913,"Conjecture: Satisfied
",NN9535K,1,,,1,-premise,1,DONE, -pl -pdbgn ,00:00:01, pw = 2,4,1,2G,14-00:00:00,../../inputs/ChromaticNumber_1,4,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317913.sh,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317913.txt
4728326,22 18:15:19 CET 2021,1,0,Wed Dec 22 18:15:16 CET 2021,IsomorphismBreadthFirstSearch,19317918,"Conjecture: Satisfied
",NN9535K,1,,,1, ,1,DONE, -pl -pdbgn ,00:00:02, pw = 3,6,1,2G,14-00:00:00,../../inputs/ChromaticNumber_1,10,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317918.sh,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317918.txt
4728327,22 18:15:23 CET 2021,1,0,Wed Dec 22 18:15:16 CET 2021,IsomorphismBreadthFirstSearch,19317923,"Conjecture: Satisfied
",NN9535K,1,,,1,-premise,1,DONE, -pl -pdbgn ,00:00:04, pw = 3,5,1,2G,14-00:00:00,../../inputs/ChromaticNumber_1,5,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317923.sh,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317923.txt
4728328,22 18:15:22 CET 2021,1,0,Wed Dec 22 18:15:16 CET 2021,IsomorphismBreadthFirstSearch,19317928,"Conjecture: Satisfied
",NN9535K,1,,,1, ,1,DONE, -pl -pdbgn ,00:00:05, pw = 4,7,1,2G,14-00:00:00,../../inputs/ChromaticNumber_1,12,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317928.sh,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317928.txt
4728329,22 18:15:23 CET 2021,1,0,Wed Dec 22 18:15:16 CET 2021,IsomorphismBreadthFirstSearch,19317933,"Conjecture: Satisfied
",NN9535K,1,,,1,-premise,1,DONE, -pl -pdbgn ,00:00:05, pw = 4,6,1,2G,14-00:00:00,../../inputs/ChromaticNumber_1,6,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317933.sh,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317933.txt
4728330,22 18:15:22 CET 2021,1,0,Wed Dec 22 18:15:16 CET 2021,IsomorphismBreadthFirstSearch,19317938,"Conjecture: Satisfied
",NN9535K,1,,,1, ,1,DONE, -pl -pdbgn ,00:00:04, pw = 5,8,1,2G,14-00:00:00,../../inputs/ChromaticNumber_1,14,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317938.sh,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 5  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317938.txt
4728331,22 18:15:22 CET 2021,1,0,Wed Dec 22 18:15:16 CET 2021,IsomorphismBreadthFirstSearch,19317943,"Conjecture: Satisfied
",NN9535K,1,,,1,-premise,1,DONE, -pl -pdbgn ,00:00:04, pw = 5,7,1,2G,14-00:00:00,../../inputs/ChromaticNumber_1,7,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317943.sh,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 5  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317943.txt
