mem-per-cpu,time,ChromaticNumber,Search Options,Flags,ntasks-per-node,max-witness-size,error-output,iteration,account,command,conjecture-status,finish, Search Type,error,all-states,width,elapsed,cpus-per-task,job-name,ntasks,start,input,max-rss,script-file,status,job-id
2G,14-00:00:00,1, , -pl -pdbgn ,1,1,,6,NN9535K,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317898.txt,"Conjecture: Satisfied
",22 18:15:18 CET 2021,IsomorphismBreadthFirstSearch,,6, pw = 1,00:00:01,1,19317898,1,Wed Dec 22 18:15:15 CET 2021,../../inputs/ChromaticNumber_1,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317898.sh,DONE,4728322
2G,14-00:00:00,1,-premise, -pl -pdbgn ,1,1,,3,NN9535K,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317903.txt,"Conjecture: Satisfied
",22 18:15:18 CET 2021,IsomorphismBreadthFirstSearch,,3, pw = 1,00:00:01,1,19317903,1,Wed Dec 22 18:15:15 CET 2021,../../inputs/ChromaticNumber_1,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317903.sh,DONE,4728323
2G,14-00:00:00,1, , -pl -pdbgn ,1,1,,6,NN9535K,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317908.txt,"Conjecture: Satisfied
",22 18:15:18 CET 2021,IsomorphismBreadthFirstSearch,,8, pw = 2,00:00:01,1,19317908,1,Wed Dec 22 18:15:16 CET 2021,../../inputs/ChromaticNumber_1,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317908.sh,DONE,4728324
2G,14-00:00:00,1,-premise, -pl -pdbgn ,1,1,,4,NN9535K,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317913.txt,"Conjecture: Satisfied
",22 18:15:19 CET 2021,IsomorphismBreadthFirstSearch,,4, pw = 2,00:00:01,1,19317913,1,Wed Dec 22 18:15:16 CET 2021,../../inputs/ChromaticNumber_1,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317913.sh,DONE,4728325
2G,14-00:00:00,1, , -pl -pdbgn ,1,1,,6,NN9535K,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317918.txt,"Conjecture: Satisfied
",22 18:15:19 CET 2021,IsomorphismBreadthFirstSearch,,10, pw = 3,00:00:02,1,19317918,1,Wed Dec 22 18:15:16 CET 2021,../../inputs/ChromaticNumber_1,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317918.sh,DONE,4728326
2G,14-00:00:00,1,-premise, -pl -pdbgn ,1,1,,5,NN9535K,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317923.txt,"Conjecture: Satisfied
",22 18:15:23 CET 2021,IsomorphismBreadthFirstSearch,,5, pw = 3,00:00:04,1,19317923,1,Wed Dec 22 18:15:16 CET 2021,../../inputs/ChromaticNumber_1,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317923.sh,DONE,4728327
2G,14-00:00:00,1, , -pl -pdbgn ,1,1,,7,NN9535K,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317928.txt,"Conjecture: Satisfied
",22 18:15:22 CET 2021,IsomorphismBreadthFirstSearch,,12, pw = 4,00:00:05,1,19317928,1,Wed Dec 22 18:15:16 CET 2021,../../inputs/ChromaticNumber_1,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317928.sh,DONE,4728328
2G,14-00:00:00,1,-premise, -pl -pdbgn ,1,1,,6,NN9535K,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317933.txt,"Conjecture: Satisfied
",22 18:15:23 CET 2021,IsomorphismBreadthFirstSearch,,6, pw = 4,00:00:05,1,19317933,1,Wed Dec 22 18:15:16 CET 2021,../../inputs/ChromaticNumber_1,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317933.sh,DONE,4728329
2G,14-00:00:00,1, , -pl -pdbgn ,1,1,,8,NN9535K,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 5  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317938.txt,"Conjecture: Satisfied
",22 18:15:22 CET 2021,IsomorphismBreadthFirstSearch,,14, pw = 5,00:00:04,1,19317938,1,Wed Dec 22 18:15:16 CET 2021,../../inputs/ChromaticNumber_1,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317938.sh,DONE,4728330
2G,14-00:00:00,1,-premise, -pl -pdbgn ,1,1,,7,NN9535K,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 5  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317943.txt,"Conjecture: Satisfied
",22 18:15:22 CET 2021,IsomorphismBreadthFirstSearch,,7, pw = 5,00:00:04,1,19317943,1,Wed Dec 22 18:15:16 CET 2021,../../inputs/ChromaticNumber_1,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317943.sh,DONE,4728331
