iteration,Search Options,ntasks,error,elapsed,account,max-witness-size,max-rss,error-output,all-states,Flags,start,conjecture-status,time,job-id,input, Search Type,ChromaticNumber,job-name,status,mem-per-cpu,cpus-per-task,script-file,command,ntasks-per-node,width,finish
6, ,1,,00:00:01,NN9535K,1,0,,6, -pl -pdbgn ,Thu Dec 23 13:33:13 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732451,../../inputs/ChromaticNumber_1,IsomorphismBreadthFirstSearch,1,26269563,DONE,2G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269563.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269563.txt,1, tw = 1,23 13:33:15 CET 2021
3,-premise,1,,00:00:02,NN9535K,1,0,,3, -pl -pdbgn ,Thu Dec 23 13:33:13 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732452,../../inputs/ChromaticNumber_1,IsomorphismBreadthFirstSearch,1,26269569,DONE,2G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269569.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269569.txt,1, tw = 1,23 13:33:15 CET 2021
6, ,1,,00:00:01,NN9535K,1,0,,8, -pl -pdbgn ,Thu Dec 23 13:33:13 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732453,../../inputs/ChromaticNumber_1,IsomorphismBreadthFirstSearch,1,26269574,DONE,2G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269574.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269574.txt,1, tw = 2,23 13:33:16 CET 2021
4,-premise,1,,00:00:01,NN9535K,1,0,,4, -pl -pdbgn ,Thu Dec 23 13:33:13 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732454,../../inputs/ChromaticNumber_1,IsomorphismBreadthFirstSearch,1,26269578,DONE,2G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269578.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269578.txt,1, tw = 2,23 13:33:16 CET 2021
6, ,1,,00:00:01,NN9535K,1,0,,10, -pl -pdbgn ,Thu Dec 23 13:33:13 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732455,../../inputs/ChromaticNumber_1,IsomorphismBreadthFirstSearch,1,26269583,DONE,4G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269583.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269583.txt,1, tw = 3,23 13:33:15 CET 2021
5,-premise,1,,00:00:01,NN9535K,1,0,,5, -pl -pdbgn ,Thu Dec 23 13:33:13 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732456,../../inputs/ChromaticNumber_1,IsomorphismBreadthFirstSearch,1,26269588,DONE,4G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269588.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269588.txt,1, tw = 3,23 13:33:16 CET 2021
4, ,1,,00:00:02,NN9535K,2,0,,4, -pl -pdbgn ,Thu Dec 23 13:33:13 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732457,../../inputs/ChromaticNumber_2,IsomorphismBreadthFirstSearch,2,26269593,DONE,2G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269593.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269593.txt,1, tw = 1,23 13:33:16 CET 2021
4,-premise,1,,00:00:02,NN9535K,2,0,,4, -pl -pdbgn ,Thu Dec 23 13:33:13 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732458,../../inputs/ChromaticNumber_2,IsomorphismBreadthFirstSearch,2,26269598,DONE,2G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269598.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269598.txt,1, tw = 1,23 13:33:15 CET 2021
10, ,1,,00:00:03,NN9535K,4,0,,14, -pl -pdbgn ,Thu Dec 23 13:33:14 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732459,../../inputs/ChromaticNumber_2,IsomorphismBreadthFirstSearch,2,26269603,DONE,2G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269603.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269603.txt,1, tw = 2,23 13:33:17 CET 2021
9,-premise,1,,00:00:03,NN9535K,4,0,,10, -pl -pdbgn ,Thu Dec 23 13:33:14 CET 2021,"Conjecture: Satisfied
",14-00:00:00,4732460,../../inputs/ChromaticNumber_2,IsomorphismBreadthFirstSearch,2,26269608,DONE,2G,1,/cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../jobs/26269608.sh,/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/chromatic-number-iso-bfs-tw/main-script/job-generation/../../program-outputs/26269608.txt,1, tw = 2,23 13:33:17 CET 2021
