start,finish,job-id,ntasks,ChromaticNumber,conjecture-status,error-output,all-states,cpus-per-task,job-name,max-rss,script-file,elapsed,iteration,status,max-witness-size,width,time,ntasks-per-node, Search Type,Flags,account,input,error,mem-per-cpu,command,Search Options
Wed Dec 22 18:15:15 CET 2021,22 18:15:18 CET 2021,4728322,1,1,"Conjecture: Satisfied
",,6,1,19317898,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317898.sh,00:00:01,6,DONE,1, pw = 1,14-00:00:00,1,IsomorphismBreadthFirstSearch, -pl -pdbgn ,NN9535K,../../inputs/ChromaticNumber_1,,2G,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317898.txt, 
Wed Dec 22 18:15:15 CET 2021,22 18:15:18 CET 2021,4728323,1,1,"Conjecture: Satisfied
",,3,1,19317903,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317903.sh,00:00:01,3,DONE,1, pw = 1,14-00:00:00,1,IsomorphismBreadthFirstSearch, -pl -pdbgn ,NN9535K,../../inputs/ChromaticNumber_1,,2G,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317903.txt,-premise
Wed Dec 22 18:15:16 CET 2021,22 18:15:18 CET 2021,4728324,1,1,"Conjecture: Satisfied
",,8,1,19317908,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317908.sh,00:00:01,6,DONE,1, pw = 2,14-00:00:00,1,IsomorphismBreadthFirstSearch, -pl -pdbgn ,NN9535K,../../inputs/ChromaticNumber_1,,2G,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317908.txt, 
Wed Dec 22 18:15:16 CET 2021,22 18:15:19 CET 2021,4728325,1,1,"Conjecture: Satisfied
",,4,1,19317913,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317913.sh,00:00:01,4,DONE,1, pw = 2,14-00:00:00,1,IsomorphismBreadthFirstSearch, -pl -pdbgn ,NN9535K,../../inputs/ChromaticNumber_1,,2G,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317913.txt,-premise
Wed Dec 22 18:15:16 CET 2021,22 18:15:19 CET 2021,4728326,1,1,"Conjecture: Satisfied
",,10,1,19317918,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317918.sh,00:00:02,6,DONE,1, pw = 3,14-00:00:00,1,IsomorphismBreadthFirstSearch, -pl -pdbgn ,NN9535K,../../inputs/ChromaticNumber_1,,2G,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317918.txt, 
Wed Dec 22 18:15:16 CET 2021,22 18:15:23 CET 2021,4728327,1,1,"Conjecture: Satisfied
",,5,1,19317923,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317923.sh,00:00:04,5,DONE,1, pw = 3,14-00:00:00,1,IsomorphismBreadthFirstSearch, -pl -pdbgn ,NN9535K,../../inputs/ChromaticNumber_1,,2G,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317923.txt,-premise
Wed Dec 22 18:15:16 CET 2021,22 18:15:22 CET 2021,4728328,1,1,"Conjecture: Satisfied
",,12,1,19317928,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317928.sh,00:00:05,7,DONE,1, pw = 4,14-00:00:00,1,IsomorphismBreadthFirstSearch, -pl -pdbgn ,NN9535K,../../inputs/ChromaticNumber_1,,2G,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317928.txt, 
Wed Dec 22 18:15:16 CET 2021,22 18:15:23 CET 2021,4728329,1,1,"Conjecture: Satisfied
",,6,1,19317933,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317933.sh,00:00:05,6,DONE,1, pw = 4,14-00:00:00,1,IsomorphismBreadthFirstSearch, -pl -pdbgn ,NN9535K,../../inputs/ChromaticNumber_1,,2G,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317933.txt,-premise
Wed Dec 22 18:15:16 CET 2021,22 18:15:22 CET 2021,4728330,1,1,"Conjecture: Satisfied
",,14,1,19317938,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317938.sh,00:00:04,8,DONE,1, pw = 5,14-00:00:00,1,IsomorphismBreadthFirstSearch, -pl -pdbgn ,NN9535K,../../inputs/ChromaticNumber_1,,2G,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 5  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317938.txt, 
Wed Dec 22 18:15:16 CET 2021,22 18:15:22 CET 2021,4728331,1,1,"Conjecture: Satisfied
",,7,1,19317943,0,/cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../jobs/19317943.sh,00:00:04,7,DONE,1, pw = 5,14-00:00:00,1,IsomorphismBreadthFirstSearch, -pl -pdbgn ,NN9535K,../../inputs/ChromaticNumber_1,,2G,/cluster/home/farhadvadiee/2021/22dec/chromatic-number-iso-bfs/Build/./treewidzard -search   pw = 5  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/ChromaticNumber_1.txt > /cluster/projects/nn9535k/farhad/2021/22dec/chromatic-number-iso-bfs-pw/main-script/job-generation/../../program-outputs/19317943.txt,-premise
