width,time,max-rss,mem-per-cpu,Search Options,CliqueNumberSimpleGraphs,script-file,conjecture-status,max-witness-size,error-output,elapsed,command, Search Type,Flags,job-id,all-states,job-name,input,error,start,ntasks,status,ntasks-per-node,cpus-per-task,account,finish,iteration
 pw = 1,14-00:00:00,0,2G, ,2,/cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../jobs/19403011.sh,"Conjecture: Satisfied
",4,,00:00:01,/cluster/home/farhadvadiee/2021/22dec/triangle-free-iso-bfs/Build/./treewidzard -search   pw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../program-outputs/19403011.txt,IsomorphismBreadthFirstSearch, -pl -pdbgn ,4728428,6,19403011,../../inputs/CliqueNumberSimpleGraphs_2,,Wed Dec 22 18:36:51 CET 2021,1,DONE,1,1,NN9535K,22 18:36:52 CET 2021,6
 pw = 1,14-00:00:00,0,2G,-premise,2,/cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../jobs/19403017.sh,"Conjecture: Satisfied
",4,,00:00:02,/cluster/home/farhadvadiee/2021/22dec/triangle-free-iso-bfs/Build/./treewidzard -search   pw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../program-outputs/19403017.txt,IsomorphismBreadthFirstSearch, -pl -pdbgn ,4728429,6,19403017,../../inputs/CliqueNumberSimpleGraphs_2,,Wed Dec 22 18:36:51 CET 2021,1,DONE,1,1,NN9535K,22 18:36:52 CET 2021,6
 pw = 2,14-00:00:00,0,2G, ,2,/cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../jobs/19403022.sh,"Conjecture: Satisfied
",12,,00:00:02,/cluster/home/farhadvadiee/2021/22dec/triangle-free-iso-bfs/Build/./treewidzard -search   pw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../program-outputs/19403022.txt,IsomorphismBreadthFirstSearch, -pl -pdbgn ,4728430,259,19403022,../../inputs/CliqueNumberSimpleGraphs_2,,Wed Dec 22 18:36:51 CET 2021,1,DONE,1,1,NN9535K,22 18:36:53 CET 2021,26
 pw = 2,14-00:00:00,0,2G,-premise,2,/cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../jobs/19403028.sh,"Conjecture: Satisfied
",12,,00:00:03,/cluster/home/farhadvadiee/2021/22dec/triangle-free-iso-bfs/Build/./treewidzard -search   pw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../program-outputs/19403028.txt,IsomorphismBreadthFirstSearch, -pl -pdbgn ,4728431,255,19403028,../../inputs/CliqueNumberSimpleGraphs_2,,Wed Dec 22 18:36:51 CET 2021,1,DONE,1,1,NN9535K,22 18:36:53 CET 2021,26
 pw = 3,14-00:00:00,74824K,2G, ,2,/cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../jobs/19403033.sh,"Conjecture: Satisfied
",26,,00:36:21,/cluster/home/farhadvadiee/2021/22dec/triangle-free-iso-bfs/Build/./treewidzard -search   pw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../program-outputs/19403033.txt,IsomorphismBreadthFirstSearch, -pl -pdbgn ,4728432,91894,19403033,../../inputs/CliqueNumberSimpleGraphs_2,,Wed Dec 22 18:36:51 CET 2021,1,DONE,1,1,NN9535K,22 19:13:11 CET 2021,42
 pw = 3,14-00:00:00,74820K,2G,-premise,2,/cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../jobs/19403038.sh,"Conjecture: Satisfied
",26,,00:34:49,/cluster/home/farhadvadiee/2021/22dec/triangle-free-iso-bfs/Build/./treewidzard -search   pw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../program-outputs/19403038.txt,IsomorphismBreadthFirstSearch, -pl -pdbgn ,4728433,91889,19403038,../../inputs/CliqueNumberSimpleGraphs_2,,Wed Dec 22 18:36:51 CET 2021,1,DONE,1,1,NN9535K,22 19:11:39 CET 2021,42
 pw = 4,14-00:00:00,2096816K,2G, ,2,/cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../jobs/19403043.sh,Not Finished,41,Error,3-18:06:49,/cluster/home/farhadvadiee/2021/22dec/triangle-free-iso-bfs/Build/./treewidzard -search   pw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../program-outputs/19403043.txt,IsomorphismBreadthFirstSearch, -pl -pdbgn ,4728434,2207940,19403043,../../inputs/CliqueNumberSimpleGraphs_2,"/var/spool/slurmd/job4728434/slurm_script: line 9: 53691 Killed                  /cluster/home/farhadvadiee/2021/22dec/triangle-free-iso-bfs/Build/./treewidzard -search pw = 4 -pl -pdbgn IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../program-outputs/19403043.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4728434.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",Wed Dec 22 18:36:51 CET 2021,1,DONE,1,1,NN9535K,26 12:43:39 CET 2021,24
 pw = 4,14-00:00:00,2096948K,2G,-premise,2,/cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../jobs/19403048.sh,Not Finished,41,Error,3-17:07:47,/cluster/home/farhadvadiee/2021/22dec/triangle-free-iso-bfs/Build/./treewidzard -search   pw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../program-outputs/19403048.txt,IsomorphismBreadthFirstSearch, -pl -pdbgn ,4728435,2207934,19403048,../../inputs/CliqueNumberSimpleGraphs_2,"/var/spool/slurmd/job4728435/slurm_script: line 9: 53725 Killed                  /cluster/home/farhadvadiee/2021/22dec/triangle-free-iso-bfs/Build/./treewidzard -search pw = 4 -pl -pdbgn -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../program-outputs/19403048.txt
slurmstepd: error: Detected 1 oom-kill event(s) in StepId=4728435.batch cgroup. Some of your processes may have been killed by the cgroup out-of-memory handler.
",Wed Dec 22 18:36:51 CET 2021,1,DONE,1,1,NN9535K,26 11:44:38 CET 2021,24
 pw = 5,14-00:00:00,1448104K,2G, ,2,/cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../jobs/19403053.sh,Not Finished,58,Error,14-00:00:0,/cluster/home/farhadvadiee/2021/22dec/triangle-free-iso-bfs/Build/./treewidzard -search   pw = 5  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../program-outputs/19403053.txt,IsomorphismBreadthFirstSearch, -pl -pdbgn ,4728436,1141147,19403053,../../inputs/CliqueNumberSimpleGraphs_2,"slurmstepd: error: *** JOB 4728436 ON c3-56 CANCELLED AT 2022-01-05T19:15:19 DUE TO TIME LIMIT ***
",Wed Dec 22 18:36:51 CET 2021,1,DONE,1,1,NN9535K,5 19:15:21 CET 2022,20
 pw = 5,14-00:00:00,1437648K,2G,-premise,2,/cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../jobs/19403059.sh,Not Finished,58,Error,14-00:00:0,/cluster/home/farhadvadiee/2021/22dec/triangle-free-iso-bfs/Build/./treewidzard -search   pw = 5  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/triangle-free-iso-bfs/main-script/job-generation/../../program-outputs/19403059.txt,IsomorphismBreadthFirstSearch, -pl -pdbgn ,4728437,1141140,19403059,../../inputs/CliqueNumberSimpleGraphs_2,"slurmstepd: error: *** JOB 4728437 ON c3-56 CANCELLED AT 2022-01-05T19:15:49 DUE TO TIME LIMIT ***
",Wed Dec 22 18:37:21 CET 2021,1,DONE,1,1,NN9535K,5 19:15:51 CET 2022,20
