elapsed,error-output,start,job-name,CliqueNumberSimpleGraphs,Search Options,job-id,max-rss,ntasks-per-node,mem-per-cpu,command,error,all-states,ntasks,Flags,account,time,iteration,max-witness-size,finish,script-file,status, Search Type,cpus-per-task,conjecture-status,input,width
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616454,3, ,4735915,36016K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616454.txt,"slurmstepd: error: *** JOB 4735915 ON c3-56 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",8196,1, -pl -pdbgn ,NN9535K,14-00:00:00,16,4,7 13:28:50 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616454.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_3, tw = 1
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616458,3,-premise,4735916,35960K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616458.txt,"slurmstepd: error: *** JOB 4735916 ON c3-56 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",8196,1, -pl -pdbgn ,NN9535K,14-00:00:00,16,4,7 13:28:49 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616458.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_3, tw = 1
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616463,3, ,4735917,89388K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616463.txt,"slurmstepd: error: *** JOB 4735917 ON c3-56 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",16971,1, -pl -pdbgn ,NN9535K,14-00:00:00,10,8,7 13:28:50 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616463.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_3, tw = 2
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616468,3,-premise,4735918,89388K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616468.txt,"slurmstepd: error: *** JOB 4735918 ON c3-55 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",16971,1, -pl -pdbgn ,NN9535K,14-00:00:00,10,8,7 13:28:49 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616468.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_3, tw = 2
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616473,3, ,4735919,1051540K,1,4G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616473.txt,"slurmstepd: error: *** JOB 4735919 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",14806,1, -pl -pdbgn ,NN9535K,14-00:00:00,9,17,7 13:28:50 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616473.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_3, tw = 3
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616477,3,-premise,4735920,1047692K,1,4G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616477.txt,"slurmstepd: error: *** JOB 4735920 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",14804,1, -pl -pdbgn ,NN9535K,14-00:00:00,9,17,7 13:28:50 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616477.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_3, tw = 3
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616482,4, ,4735921,36032K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616482.txt,"slurmstepd: error: *** JOB 4735921 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",8196,1, -pl -pdbgn ,NN9535K,14-00:00:00,16,4,7 13:28:50 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616482.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_4, tw = 1
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616487,4,-premise,4735922,35524K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616487.txt,"slurmstepd: error: *** JOB 4735922 ON c3-53 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",8196,1, -pl -pdbgn ,NN9535K,14-00:00:00,16,4,7 13:28:49 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616487.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_4, tw = 1
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616492,4, ,4735923,88876K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616492.txt,"slurmstepd: error: *** JOB 4735923 ON c3-52 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",16935,1, -pl -pdbgn ,NN9535K,14-00:00:00,10,8,7 13:28:50 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616492.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_4, tw = 2
14-00:00:0,Error,Fri Dec 24 12:50:22 CET 2021,34616497,4,-premise,4735924,88880K,1,2G,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616497.txt,"slurmstepd: error: *** JOB 4735924 ON c3-52 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",16935,1, -pl -pdbgn ,NN9535K,14-00:00:00,10,8,7 13:28:51 CET 2022,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616497.sh,DONE,IsomorphismBreadthFirstSearch,1,Not Finished,../../inputs/CliqueNumberSimpleGraphs_4, tw = 2
