job-id,Search Options,elapsed,max-rss,width,start, Search Type,max-witness-size,job-name,script-file,input,iteration,conjecture-status,command,mem-per-cpu,finish,all-states,error-output,error,status,time,ntasks-per-node,CliqueNumberSimpleGraphs,ntasks,account,cpus-per-task,Flags
4735915, ,14-00:00:0,36016K, tw = 1,Fri Dec 24 12:50:22 CET 2021,IsomorphismBreadthFirstSearch,4,34616454,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616454.sh,../../inputs/CliqueNumberSimpleGraphs_3,16,Not Finished,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616454.txt,2G,7 13:28:50 CET 2022,8196,Error,"slurmstepd: error: *** JOB 4735915 ON c3-56 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",DONE,14-00:00:00,1,3,1,NN9535K,1, -pl -pdbgn 
4735916,-premise,14-00:00:0,35960K, tw = 1,Fri Dec 24 12:50:22 CET 2021,IsomorphismBreadthFirstSearch,4,34616458,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616458.sh,../../inputs/CliqueNumberSimpleGraphs_3,16,Not Finished,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616458.txt,2G,7 13:28:49 CET 2022,8196,Error,"slurmstepd: error: *** JOB 4735916 ON c3-56 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",DONE,14-00:00:00,1,3,1,NN9535K,1, -pl -pdbgn 
4735917, ,14-00:00:0,89388K, tw = 2,Fri Dec 24 12:50:22 CET 2021,IsomorphismBreadthFirstSearch,8,34616463,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616463.sh,../../inputs/CliqueNumberSimpleGraphs_3,10,Not Finished,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616463.txt,2G,7 13:28:50 CET 2022,16971,Error,"slurmstepd: error: *** JOB 4735917 ON c3-56 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",DONE,14-00:00:00,1,3,1,NN9535K,1, -pl -pdbgn 
4735918,-premise,14-00:00:0,89388K, tw = 2,Fri Dec 24 12:50:22 CET 2021,IsomorphismBreadthFirstSearch,8,34616468,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616468.sh,../../inputs/CliqueNumberSimpleGraphs_3,10,Not Finished,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616468.txt,2G,7 13:28:49 CET 2022,16971,Error,"slurmstepd: error: *** JOB 4735918 ON c3-55 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",DONE,14-00:00:00,1,3,1,NN9535K,1, -pl -pdbgn 
4735919, ,14-00:00:0,1051540K, tw = 3,Fri Dec 24 12:50:22 CET 2021,IsomorphismBreadthFirstSearch,17,34616473,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616473.sh,../../inputs/CliqueNumberSimpleGraphs_3,9,Not Finished,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616473.txt,4G,7 13:28:50 CET 2022,14806,Error,"slurmstepd: error: *** JOB 4735919 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",DONE,14-00:00:00,1,3,1,NN9535K,1, -pl -pdbgn 
4735920,-premise,14-00:00:0,1047692K, tw = 3,Fri Dec 24 12:50:22 CET 2021,IsomorphismBreadthFirstSearch,17,34616477,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616477.sh,../../inputs/CliqueNumberSimpleGraphs_3,9,Not Finished,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616477.txt,4G,7 13:28:50 CET 2022,14804,Error,"slurmstepd: error: *** JOB 4735920 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",DONE,14-00:00:00,1,3,1,NN9535K,1, -pl -pdbgn 
4735921, ,14-00:00:0,36032K, tw = 1,Fri Dec 24 12:50:22 CET 2021,IsomorphismBreadthFirstSearch,4,34616482,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616482.sh,../../inputs/CliqueNumberSimpleGraphs_4,16,Not Finished,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616482.txt,2G,7 13:28:50 CET 2022,8196,Error,"slurmstepd: error: *** JOB 4735921 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",DONE,14-00:00:00,1,4,1,NN9535K,1, -pl -pdbgn 
4735922,-premise,14-00:00:0,35524K, tw = 1,Fri Dec 24 12:50:22 CET 2021,IsomorphismBreadthFirstSearch,4,34616487,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616487.sh,../../inputs/CliqueNumberSimpleGraphs_4,16,Not Finished,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616487.txt,2G,7 13:28:49 CET 2022,8196,Error,"slurmstepd: error: *** JOB 4735922 ON c3-53 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",DONE,14-00:00:00,1,4,1,NN9535K,1, -pl -pdbgn 
4735923, ,14-00:00:0,88876K, tw = 2,Fri Dec 24 12:50:22 CET 2021,IsomorphismBreadthFirstSearch,8,34616492,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616492.sh,../../inputs/CliqueNumberSimpleGraphs_4,10,Not Finished,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616492.txt,2G,7 13:28:50 CET 2022,16935,Error,"slurmstepd: error: *** JOB 4735923 ON c3-52 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",DONE,14-00:00:00,1,4,1,NN9535K,1, -pl -pdbgn 
4735924,-premise,14-00:00:0,88880K, tw = 2,Fri Dec 24 12:50:22 CET 2021,IsomorphismBreadthFirstSearch,8,34616497,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616497.sh,../../inputs/CliqueNumberSimpleGraphs_4,10,Not Finished,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616497.txt,2G,7 13:28:51 CET 2022,16935,Error,"slurmstepd: error: *** JOB 4735924 ON c3-52 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",DONE,14-00:00:00,1,4,1,NN9535K,1, -pl -pdbgn 
