finish,max-rss,max-witness-size,status,input,Search Options,ntasks-per-node,elapsed,time,cpus-per-task,all-states,width,Flags,job-id,job-name,start,mem-per-cpu,ntasks,iteration,account,error, Search Type,error-output,command,CliqueNumberSimpleGraphs,script-file,conjecture-status
7 13:28:50 CET 2022,36016K,4,DONE,../../inputs/CliqueNumberSimpleGraphs_3, ,1,14-00:00:0,14-00:00:00,1,8196, tw = 1, -pl -pdbgn ,4735915,34616454,Fri Dec 24 12:50:22 CET 2021,2G,1,16,NN9535K,"slurmstepd: error: *** JOB 4735915 ON c3-56 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616454.txt,3,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616454.sh,Not Finished
7 13:28:49 CET 2022,35960K,4,DONE,../../inputs/CliqueNumberSimpleGraphs_3,-premise,1,14-00:00:0,14-00:00:00,1,8196, tw = 1, -pl -pdbgn ,4735916,34616458,Fri Dec 24 12:50:22 CET 2021,2G,1,16,NN9535K,"slurmstepd: error: *** JOB 4735916 ON c3-56 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616458.txt,3,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616458.sh,Not Finished
7 13:28:50 CET 2022,89388K,8,DONE,../../inputs/CliqueNumberSimpleGraphs_3, ,1,14-00:00:0,14-00:00:00,1,16971, tw = 2, -pl -pdbgn ,4735917,34616463,Fri Dec 24 12:50:22 CET 2021,2G,1,10,NN9535K,"slurmstepd: error: *** JOB 4735917 ON c3-56 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616463.txt,3,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616463.sh,Not Finished
7 13:28:49 CET 2022,89388K,8,DONE,../../inputs/CliqueNumberSimpleGraphs_3,-premise,1,14-00:00:0,14-00:00:00,1,16971, tw = 2, -pl -pdbgn ,4735918,34616468,Fri Dec 24 12:50:22 CET 2021,2G,1,10,NN9535K,"slurmstepd: error: *** JOB 4735918 ON c3-55 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616468.txt,3,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616468.sh,Not Finished
7 13:28:50 CET 2022,1051540K,17,DONE,../../inputs/CliqueNumberSimpleGraphs_3, ,1,14-00:00:0,14-00:00:00,1,14806, tw = 3, -pl -pdbgn ,4735919,34616473,Fri Dec 24 12:50:22 CET 2021,4G,1,9,NN9535K,"slurmstepd: error: *** JOB 4735919 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616473.txt,3,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616473.sh,Not Finished
7 13:28:50 CET 2022,1047692K,17,DONE,../../inputs/CliqueNumberSimpleGraphs_3,-premise,1,14-00:00:0,14-00:00:00,1,14804, tw = 3, -pl -pdbgn ,4735920,34616477,Fri Dec 24 12:50:22 CET 2021,4G,1,9,NN9535K,"slurmstepd: error: *** JOB 4735920 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_3.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616477.txt,3,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616477.sh,Not Finished
7 13:28:50 CET 2022,36032K,4,DONE,../../inputs/CliqueNumberSimpleGraphs_4, ,1,14-00:00:0,14-00:00:00,1,8196, tw = 1, -pl -pdbgn ,4735921,34616482,Fri Dec 24 12:50:22 CET 2021,2G,1,16,NN9535K,"slurmstepd: error: *** JOB 4735921 ON c3-54 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616482.txt,4,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616482.sh,Not Finished
7 13:28:49 CET 2022,35524K,4,DONE,../../inputs/CliqueNumberSimpleGraphs_4,-premise,1,14-00:00:0,14-00:00:00,1,8196, tw = 1, -pl -pdbgn ,4735922,34616487,Fri Dec 24 12:50:22 CET 2021,2G,1,16,NN9535K,"slurmstepd: error: *** JOB 4735922 ON c3-53 CANCELLED AT 2022-01-07T13:28:47 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616487.txt,4,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616487.sh,Not Finished
7 13:28:50 CET 2022,88876K,8,DONE,../../inputs/CliqueNumberSimpleGraphs_4, ,1,14-00:00:0,14-00:00:00,1,16935, tw = 2, -pl -pdbgn ,4735923,34616492,Fri Dec 24 12:50:22 CET 2021,2G,1,10,NN9535K,"slurmstepd: error: *** JOB 4735923 ON c3-52 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616492.txt,4,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616492.sh,Not Finished
7 13:28:51 CET 2022,88880K,8,DONE,../../inputs/CliqueNumberSimpleGraphs_4,-premise,1,14-00:00:0,14-00:00:00,1,16935, tw = 2, -pl -pdbgn ,4735924,34616497,Fri Dec 24 12:50:22 CET 2021,2G,1,10,NN9535K,"slurmstepd: error: *** JOB 4735924 ON c3-52 CANCELLED AT 2022-01-07T13:28:48 DUE TO TIME LIMIT ***
",IsomorphismBreadthFirstSearch,Error,/cluster/home/farhadvadiee/2021/24dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/CliqueNumberSimpleGraphs_4.txt > /cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../program-outputs/34616497.txt,4,/cluster/projects/nn9535k/farhad/2021/24dec/clique-number-tw/main-script/job-generation/../../jobs/34616497.sh,Not Finished
