command,mem-per-cpu,job-id,status,finish,start,input,ntasks-per-node,max-rss,Flags,cpus-per-task,time,Search Options,elapsed,script-file,conjecture-status,error-output,job-name,ntasks,account,max-witness-size,MaxDegree,width,iteration, Search Type,error,all-states
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_1.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386145.txt,2G,4732711,DONE,23 13:53:46 CET 2021,Thu Dec 23 13:53:45 CET 2021,../../inputs/MaxDegree_1,1,0, -pl -pdbgn ,1,14-00:00:00, ,00:00:01,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386145.sh,"Conjecture: Satisfied
",,26386145,1,NN9535K,1,1, tw = 1,7,IsomorphismBreadthFirstSearch,,9
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_1.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386150.txt,2G,4732712,DONE,23 13:53:47 CET 2021,Thu Dec 23 13:53:45 CET 2021,../../inputs/MaxDegree_1,1,0, -pl -pdbgn ,1,14-00:00:00,-premise,00:00:01,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386150.sh,"Conjecture: Satisfied
",,26386150,1,NN9535K,1,1, tw = 1,6,IsomorphismBreadthFirstSearch,,6
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_1.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386155.txt,2G,4732713,DONE,23 13:53:47 CET 2021,Thu Dec 23 13:53:45 CET 2021,../../inputs/MaxDegree_1,1,0, -pl -pdbgn ,1,14-00:00:00, ,00:00:01,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386155.sh,"Conjecture: Satisfied
",,26386155,1,NN9535K,1,1, tw = 2,8,IsomorphismBreadthFirstSearch,,14
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_1.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386160.txt,2G,4732714,DONE,23 13:53:49 CET 2021,Thu Dec 23 13:53:45 CET 2021,../../inputs/MaxDegree_1,1,0, -pl -pdbgn ,1,14-00:00:00,-premise,00:00:01,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386160.sh,"Conjecture: Satisfied
",,26386160,1,NN9535K,1,1, tw = 2,8,IsomorphismBreadthFirstSearch,,10
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_1.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386165.txt,4G,4732715,DONE,23 13:53:48 CET 2021,Thu Dec 23 13:53:45 CET 2021,../../inputs/MaxDegree_1,1,0, -pl -pdbgn ,1,14-00:00:00, ,00:00:02,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386165.sh,"Conjecture: Satisfied
",,26386165,1,NN9535K,1,1, tw = 3,9,IsomorphismBreadthFirstSearch,,20
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_1.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386170.txt,4G,4732716,DONE,23 13:53:48 CET 2021,Thu Dec 23 13:53:45 CET 2021,../../inputs/MaxDegree_1,1,0, -pl -pdbgn ,1,14-00:00:00,-premise,00:00:02,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386170.sh,"Conjecture: Satisfied
",,26386170,1,NN9535K,1,1, tw = 3,9,IsomorphismBreadthFirstSearch,,15
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386175.txt,2G,4732717,DONE,23 13:53:48 CET 2021,Thu Dec 23 13:53:45 CET 2021,../../inputs/MaxDegree_2,1,0, -pl -pdbgn ,1,14-00:00:00, ,00:00:02,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386175.sh,"Conjecture: Satisfied
",,26386175,1,NN9535K,1,2, tw = 1,8,IsomorphismBreadthFirstSearch,,13
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386181.txt,2G,4732718,DONE,23 13:53:49 CET 2021,Thu Dec 23 13:53:45 CET 2021,../../inputs/MaxDegree_2,1,0, -pl -pdbgn ,1,14-00:00:00,-premise,00:00:02,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386181.sh,"Conjecture: Satisfied
",,26386181,1,NN9535K,1,2, tw = 1,7,IsomorphismBreadthFirstSearch,,10
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386186.txt,2G,4732719,DONE,23 13:53:49 CET 2021,Thu Dec 23 13:53:46 CET 2021,../../inputs/MaxDegree_2,1,0, -pl -pdbgn ,1,14-00:00:00, ,00:00:03,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386186.sh,"Conjecture: Satisfied
",,26386186,1,NN9535K,1,2, tw = 2,8,IsomorphismBreadthFirstSearch,,24
/cluster/home/farhadvadiee/2021/23dec/program/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2.txt > /cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../program-outputs/26386191.txt,2G,4732720,DONE,23 13:53:48 CET 2021,Thu Dec 23 13:53:46 CET 2021,../../inputs/MaxDegree_2,1,0, -pl -pdbgn ,1,14-00:00:00,-premise,00:00:03,/cluster/projects/nn9535k/farhad/2021/23dec/max-degree-iso-bfs-tw/main-script/job-generation/../../jobs/26386191.sh,"Conjecture: Satisfied
",,26386191,1,NN9535K,1,2, tw = 2,8,IsomorphismBreadthFirstSearch,,20
