max-witness-size,max-rss,width,ChromaticNumber,iteration,command,HasMultipleEdges,conjecture-status,error,input,time,Flags,ntasks-per-node,job-name, Search Type,error-output,Search Options,finish,ntasks,account,elapsed,MaxDegree,script-file,mem-per-cpu,job-id,CliqueNumberSimpleGraphs,all-states,status,cpus-per-task,start
"2,1,4,1",0, pw = 1,2,13,/cluster/home/farhadvadiee/2021/22dec/reed-conjecture-minus-one/Build/./treewidzard -search   pw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../program-outputs/19912380.txt,,"Conjecture: Satisfied
",,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,14-00:00:00, -pl -pdbgn ,1,19912380,IsomorphismBreadthFirstSearch,, ,22 19:53:41 CET 2021,1,NN9535K,00:00:01,2,/cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../jobs/19912380.sh,4G,4728553,2,29,DONE,1,Wed Dec 22 19:53:40 CET 2021
"2,1,4,1",0, pw = 1,2,9,/cluster/home/farhadvadiee/2021/22dec/reed-conjecture-minus-one/Build/./treewidzard -search   pw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../program-outputs/19912385.txt,,"Conjecture: Satisfied
",,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,14-00:00:00, -pl -pdbgn ,1,19912385,IsomorphismBreadthFirstSearch,,-premise,22 19:53:41 CET 2021,1,NN9535K,00:00:00,2,/cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../jobs/19912385.sh,4G,4728554,2,9,DONE,1,Wed Dec 22 19:53:40 CET 2021
"4,1,10,1",0, pw = 2,2,11,/cluster/home/farhadvadiee/2021/22dec/reed-conjecture-minus-one/Build/./treewidzard -search   pw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../program-outputs/19912390.txt,,"Conjecture: Not Satisfied
",,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,14-00:00:00, -pl -pdbgn ,1,19912390,IsomorphismBreadthFirstSearch,, ,22 19:54:13 CET 2021,1,NN9535K,00:00:02,2,/cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../jobs/19912390.sh,4G,4728555,2,197,DONE,1,Wed Dec 22 19:54:10 CET 2021
"4,1,9,1",0, pw = 2,2,11,/cluster/home/farhadvadiee/2021/22dec/reed-conjecture-minus-one/Build/./treewidzard -search   pw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../program-outputs/19912395.txt,,"Conjecture: Not Satisfied
",,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,14-00:00:00, -pl -pdbgn ,1,19912395,IsomorphismBreadthFirstSearch,,-premise,22 19:54:13 CET 2021,1,NN9535K,00:00:02,2,/cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../jobs/19912395.sh,4G,4728556,2,37,DONE,1,Wed Dec 22 19:54:10 CET 2021
"8,1,18,1",0, pw = 3,2,10,/cluster/home/farhadvadiee/2021/22dec/reed-conjecture-minus-one/Build/./treewidzard -search   pw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../program-outputs/19912400.txt,,"Conjecture: Not Satisfied
",,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,14-00:00:00, -pl -pdbgn ,1,19912400,IsomorphismBreadthFirstSearch,, ,22 19:54:17 CET 2021,1,NN9535K,00:00:07,2,/cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../jobs/19912400.sh,16G,4728557,2,314,DONE,1,Wed Dec 22 19:54:10 CET 2021
"8,1,16,1",0, pw = 3,2,10,/cluster/home/farhadvadiee/2021/22dec/reed-conjecture-minus-one/Build/./treewidzard -search   pw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../program-outputs/19912405.txt,,"Conjecture: Not Satisfied
",,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,14-00:00:00, -pl -pdbgn ,1,19912405,IsomorphismBreadthFirstSearch,,-premise,22 19:54:13 CET 2021,1,NN9535K,00:00:02,2,/cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../jobs/19912405.sh,16G,4728558,2,54,DONE,1,Wed Dec 22 19:54:10 CET 2021
"16,1,29,1",0, pw = 4,2,9,/cluster/home/farhadvadiee/2021/22dec/reed-conjecture-minus-one/Build/./treewidzard -search   pw = 4  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../program-outputs/19912410.txt,,"Conjecture: Not Satisfied
",,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,14-00:00:00, -pl -pdbgn ,1,19912410,IsomorphismBreadthFirstSearch,, ,22 19:54:30 CET 2021,1,NN9535K,00:00:20,2,/cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../jobs/19912410.sh,32G,4728559,2,217,DONE,1,Wed Dec 22 19:54:10 CET 2021
"16,1,27,1",0, pw = 4,2,9,/cluster/home/farhadvadiee/2021/22dec/reed-conjecture-minus-one/Build/./treewidzard -search   pw = 4  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../program-outputs/19912415.txt,,"Conjecture: Not Satisfied
",,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,14-00:00:00, -pl -pdbgn ,1,19912415,IsomorphismBreadthFirstSearch,,-premise,22 19:54:18 CET 2021,1,NN9535K,00:00:08,2,/cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../jobs/19912415.sh,32G,4728560,2,53,DONE,1,Wed Dec 22 19:54:11 CET 2021
"32,1,42,1",3028K, pw = 5,2,9,/cluster/home/farhadvadiee/2021/22dec/reed-conjecture-minus-one/Build/./treewidzard -search   pw = 5  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../program-outputs/19912420.txt,,"Conjecture: Not Satisfied
",,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,14-00:00:00, -pl -pdbgn ,1,19912420,IsomorphismBreadthFirstSearch,, ,22 19:56:00 CET 2021,1,NN9535K,00:01:50,2,/cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../jobs/19912420.sh,32G,4728561,2,232,DONE,1,Wed Dec 22 19:54:11 CET 2021
"32,1,42,1",1856K, pw = 5,2,9,/cluster/home/farhadvadiee/2021/22dec/reed-conjecture-minus-one/Build/./treewidzard -search   pw = 5  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2.txt > /cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../program-outputs/19912425.txt,,"Conjecture: Not Satisfied
",,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_2,14-00:00:00, -pl -pdbgn ,1,19912425,IsomorphismBreadthFirstSearch,,-premise,22 19:55:09 CET 2021,1,NN9535K,00:00:59,2,/cluster/projects/nn9535k/farhad/2021/22dec/reed-conjecture-minus-one-pw/main-script/job-generation/../../jobs/19912425.sh,32G,4728562,2,61,DONE,1,Wed Dec 22 19:54:11 CET 2021
