error,finish,error-output,account,Search Options,ChromaticNumber,MaxDegree,Flags,time,command,width,script-file,job-id,iteration,CliqueNumberSimpleGraphs,elapsed,status,max-witness-size,ntasks,HasMultipleEdges, Search Type,input,all-states,max-rss,cpus-per-task,job-name,conjecture-status,start,ntasks-per-node,mem-per-cpu
,24 13:47:58 CET 2021,,NN9535K, ,4,2, -pl ,14-00:00:00,/cluster/home/farhadvadiee/2021/23nov/reed-conjecture/Build/./treewidzard -search   pw = 1  -pl    BreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../program-outputs/68717609.txt, pw = 1,/cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../jobs/68717609.sh,4454619,13,2,00:00:00,DONE,"2,1,4,1",1,,BreadthFirstSearch,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4,43,0,1,68717609,"Conjecture: Satisfied
",Wed Nov 24 13:47:57 CET 2021,1,16G
,24 13:47:58 CET 2021,,NN9535K, ,4,2, -pl ,14-00:00:00,/cluster/home/farhadvadiee/2021/23nov/reed-conjecture/Build/./treewidzard -search   pw = 1  -pl    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../program-outputs/68717616.txt, pw = 1,/cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../jobs/68717616.sh,4454620,14,2,00:00:00,DONE,"2,1,4,1",1,,IsomorphismBreadthFirstSearch,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4,29,0,1,68717616,"Conjecture: Satisfied
",Wed Nov 24 13:47:57 CET 2021,1,16G
,24 13:47:58 CET 2021,,NN9535K,-premise,4,2, -pl ,14-00:00:00,/cluster/home/farhadvadiee/2021/23nov/reed-conjecture/Build/./treewidzard -search   pw = 1  -pl  -premise BreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../program-outputs/68717620.txt, pw = 1,/cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../jobs/68717620.sh,4454621,9,2,00:00:00,DONE,"2,1,4,1",1,,BreadthFirstSearch,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4,15,0,1,68717620,"Conjecture: Satisfied
",Wed Nov 24 13:47:57 CET 2021,1,16G
,24 13:47:59 CET 2021,,NN9535K,-premise,4,2, -pl ,14-00:00:00,/cluster/home/farhadvadiee/2021/23nov/reed-conjecture/Build/./treewidzard -search   pw = 1  -pl  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../program-outputs/68717625.txt, pw = 1,/cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../jobs/68717625.sh,4454622,10,2,00:00:00,DONE,"2,1,4,1",1,,IsomorphismBreadthFirstSearch,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4,9,0,1,68717625,"Conjecture: Satisfied
",Wed Nov 24 13:47:57 CET 2021,1,16G
,24 13:48:10 CET 2021,,NN9535K, ,4,2, -pl ,14-00:00:00,/cluster/home/farhadvadiee/2021/23nov/reed-conjecture/Build/./treewidzard -search   pw = 2  -pl    BreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../program-outputs/68717629.txt, pw = 2,/cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../jobs/68717629.sh,4454623,26,2,00:00:13,DONE,"5,1,12,1",1,,BreadthFirstSearch,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4,2503,0,1,68717629,"Conjecture: Satisfied
",Wed Nov 24 13:47:57 CET 2021,1,16G
,24 13:48:02 CET 2021,,NN9535K, ,4,2, -pl ,14-00:00:00,/cluster/home/farhadvadiee/2021/23nov/reed-conjecture/Build/./treewidzard -search   pw = 2  -pl    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../program-outputs/68717634.txt, pw = 2,/cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../jobs/68717634.sh,4454624,28,2,00:00:05,DONE,"5,1,12,1",1,,IsomorphismBreadthFirstSearch,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4,520,0,1,68717634,"Conjecture: Satisfied
",Wed Nov 24 13:47:57 CET 2021,1,16G
,24 13:48:00 CET 2021,,NN9535K,-premise,4,2, -pl ,14-00:00:00,/cluster/home/farhadvadiee/2021/23nov/reed-conjecture/Build/./treewidzard -search   pw = 2  -pl  -premise BreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../program-outputs/68717639.txt, pw = 2,/cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../jobs/68717639.sh,4454625,16,2,00:00:02,DONE,"5,1,9,1",1,,BreadthFirstSearch,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4,149,0,1,68717639,"Conjecture: Satisfied
",Wed Nov 24 13:47:57 CET 2021,1,16G
,24 13:48:00 CET 2021,,NN9535K,-premise,4,2, -pl ,14-00:00:00,/cluster/home/farhadvadiee/2021/23nov/reed-conjecture/Build/./treewidzard -search   pw = 2  -pl  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../program-outputs/68717643.txt, pw = 2,/cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../jobs/68717643.sh,4454626,18,2,00:00:01,DONE,"5,1,9,1",1,,IsomorphismBreadthFirstSearch,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4,38,0,1,68717643,"Conjecture: Satisfied
",Wed Nov 24 13:47:57 CET 2021,1,16G
,1 03:20:02 CET 2021,,NN9535K, ,4,2, -pl ,14-00:00:00,/cluster/home/farhadvadiee/2021/23nov/reed-conjecture/Build/./treewidzard -search   pw = 3  -pl    BreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../program-outputs/68717648.txt, pw = 3,/cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../jobs/68717648.sh,4454627,58,2,6-13:32:05,DONE,"14,1,26,1",1,,BreadthFirstSearch,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4,24482279,28641656K,1,68717648,"Conjecture: Satisfied
",Wed Nov 24 13:47:57 CET 2021,1,64G
,25 03:46:55 CET 2021,,NN9535K, ,4,2, -pl ,14-00:00:00,/cluster/home/farhadvadiee/2021/23nov/reed-conjecture/Build/./treewidzard -search   pw = 3  -pl    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4.txt > /cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../program-outputs/68717653.txt, pw = 3,/cluster/projects/nn9535k/farhad/2021/23nov/reed-conjecture/main-script/job-generation/../../jobs/68717653.sh,4454628,61,2,13:58:58,DONE,"14,1,26,1",1,,IsomorphismBreadthFirstSearch,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_4,1031545,1428292K,1,68717653,"Conjecture: Satisfied
",Wed Nov 24 13:47:57 CET 2021,1,64G
