error-output, Search Type,ntasks-per-node,script-file,width,all-states,iteration,Search Options,account,Flags,start,job-id,elapsed,status,ntasks,HasMultipleEdges,mem-per-cpu,error,MaxDegree,job-name,cpus-per-task,max-witness-size,command,input,ChromaticNumber,time,max-rss,conjecture-status,CliqueNumberSimpleGraphs,finish
Error,IsomorphismBreadthFirstSearch,1,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../jobs/26196587.sh, tw = 1,8227,16, ,NN9535K, -pl -pdbgn ,Thu Dec 23 13:20:37 CET 2021,4731926,14-00:00:2,DONE,1,,2G,"slurmstepd: error: *** JOB 4731926 ON c3-56 CANCELLED AT 2022-01-06T13:59:30 DUE TO TIME LIMIT ***
",2,26196587,1,"2,1,4,1",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../program-outputs/26196587.txt,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,3,14-00:00:00,42224K,Not Finished,2,6 13:59:32 CET 2022
,IsomorphismBreadthFirstSearch,1,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../jobs/26196592.sh, tw = 1,13,8,-premise,NN9535K, -pl -pdbgn ,Thu Dec 23 13:20:38 CET 2021,4731927,00:00:00,DONE,1,,2G,,2,26196592,1,"2,1,4,1",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../program-outputs/26196592.txt,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,3,14-00:00:00,0,"Conjecture: Satisfied
",2,23 13:20:39 CET 2021
Error,IsomorphismBreadthFirstSearch,1,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../jobs/26196598.sh, tw = 2,25351,9, ,NN9535K, -pl -pdbgn ,Thu Dec 23 13:20:38 CET 2021,4731928,14-00:00:2,DONE,1,,8G,"slurmstepd: error: *** JOB 4731928 ON c3-56 CANCELLED AT 2022-01-06T13:59:30 DUE TO TIME LIMIT ***
",2,26196598,1,"5,1,12,1",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../program-outputs/26196598.txt,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,3,14-00:00:00,530068K,Not Finished,2,6 13:59:32 CET 2022
,IsomorphismBreadthFirstSearch,1,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../jobs/26196603.sh, tw = 2,57,10,-premise,NN9535K, -pl -pdbgn ,Thu Dec 23 13:20:38 CET 2021,4731929,00:00:11,DONE,1,,8G,,2,26196603,1,"5,1,11,1",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../program-outputs/26196603.txt,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,3,14-00:00:00,0,"Conjecture: Satisfied
",2,23 13:20:48 CET 2021
Error,IsomorphismBreadthFirstSearch,1,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../jobs/26196608.sh, tw = 3,69621,9, ,NN9535K, -pl -pdbgn ,Thu Dec 23 13:20:38 CET 2021,4731930,14-00:00:2,DONE,1,,16G,"slurmstepd: error: *** JOB 4731930 ON c3-55 CANCELLED AT 2022-01-06T13:59:30 DUE TO TIME LIMIT ***
",2,26196608,1,"14,1,19,1",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   tw = 3  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../program-outputs/26196608.txt,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,3,14-00:00:00,770696K,Not Finished,2,6 13:59:34 CET 2022
,IsomorphismBreadthFirstSearch,1,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../jobs/26196613.sh, tw = 3,194,11,-premise,NN9535K, -pl -pdbgn ,Thu Dec 23 13:20:38 CET 2021,4731931,00:41:27,DONE,1,,16G,,2,26196613,1,"14,1,19,1",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   tw = 3  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../program-outputs/26196613.txt,../../inputs/MaxDegree_2_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,3,14-00:00:00,1396K,"Conjecture: Satisfied
",2,23 14:02:04 CET 2021
Error,IsomorphismBreadthFirstSearch,1,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../jobs/26196619.sh, tw = 1,8247,16, ,NN9535K, -pl -pdbgn ,Thu Dec 23 13:20:38 CET 2021,4731932,14-00:00:2,DONE,1,,2G,"slurmstepd: error: *** JOB 4731932 ON c3-55 CANCELLED AT 2022-01-06T13:59:30 DUE TO TIME LIMIT ***
",3,26196619,1,"2,1,4,1",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   tw = 1  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../program-outputs/26196619.txt,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,3,14-00:00:00,42868K,Not Finished,2,6 13:59:32 CET 2022
,IsomorphismBreadthFirstSearch,1,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../jobs/26196624.sh, tw = 1,21,9,-premise,NN9535K, -pl -pdbgn ,Thu Dec 23 13:20:38 CET 2021,4731933,00:00:00,DONE,1,,2G,,3,26196624,1,"2,1,4,1",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   tw = 1  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../program-outputs/26196624.txt,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,3,14-00:00:00,0,"Conjecture: Satisfied
",2,23 13:20:39 CET 2021
Error,IsomorphismBreadthFirstSearch,1,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../jobs/26196629.sh, tw = 2,25960,9, ,NN9535K, -pl -pdbgn ,Thu Dec 23 13:20:38 CET 2021,4731934,14-00:00:2,DONE,1,,8G,"slurmstepd: error: *** JOB 4731934 ON c3-55 CANCELLED AT 2022-01-06T13:59:30 DUE TO TIME LIMIT ***
",3,26196629,1,"5,1,12,1",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   tw = 2  -pl -pdbgn    IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../program-outputs/26196629.txt,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,3,14-00:00:00,529624K,Not Finished,2,6 13:59:33 CET 2022
,IsomorphismBreadthFirstSearch,1,/cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../jobs/26196633.sh, tw = 2,153,11,-premise,NN9535K, -pl -pdbgn ,Thu Dec 23 13:20:38 CET 2021,4731935,00:01:34,DONE,1,,8G,,3,26196633,1,"5,1,11,1",/cluster/home/farhadvadiee/2021/23dec/reed-conjecture/Build/./treewidzard -search   tw = 2  -pl -pdbgn  -premise IsomorphismBreadthFirstSearch ../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3.txt > /cluster/projects/nn9535k/farhad/2021/23dec/reed-conjecture-tw/main-script/job-generation/../../program-outputs/26196633.txt,../../inputs/MaxDegree_3_CliqueNumberSimpleGraphs_2_HasMultipleEdges__ChromaticNumber_3,3,14-00:00:00,1236K,"Conjecture: Satisfied
",2,23 13:22:11 CET 2021
